url,name,sku,color,description,details,images1,images2,images3,images4,images5,category0,category1,image-flag
https://ppeci.com/index.php/products/detail/rca-keystone,RCA Keystone,WPP-RCA1-BK-BK,Black,,RCA/Black Feed Thru Black,http://ppeci.com/images/uploads/products/WPP-RCA1-BK-BK.jpg,,,,,RCA Keystones,Wall Plates,"['http://ppeci.com/images/uploads/products/WPP-RCA1-BK-BK.jpg', '']"
https://ppeci.com/index.php/products/detail/rca-keystone1,RCA Keystone,WPP-RCA1-BK-IV,Ivory,,RCA/Black Feed Thru Ivory,http://ppeci.com/images/uploads/products/WPP-RCA1-BK-IV.jpg,,,,,RCA Keystones,Wall Plates,"['http://ppeci.com/images/uploads/products/WPP-RCA1-BK-IV.jpg', '']"
https://ppeci.com/index.php/products/detail/rca-keystone3,RCA Keystone,WPP-RCA1-RD-BK,Black,,RCA/Red Feed Thru. Black,http://ppeci.com/images/uploads/products/WPP-RCA1-RD-BK.jpg,,,,,RCA Keystones,Wall Plates,"['http://ppeci.com/images/uploads/products/WPP-RCA1-RD-BK.jpg', '']"
https://ppeci.com/index.php/products/detail/rca-keystone4,RCA Keystone,WPP-RCA1-RD-IV,Ivory,,RCA/Red Feed Thru. Ivory,http://ppeci.com/images/uploads/products/WPP-RCA1-RD-IV.jpg,,,,,RCA Keystones,Wall Plates,"['http://ppeci.com/images/uploads/products/WPP-RCA1-RD-IV.jpg', '']"
https://ppeci.com/index.php/products/detail/rca-keystone5,RCA Keystone,WPP-RCA1-RD-WH,White,,RCA/Red Feed Thru. White,http://ppeci.com/images/uploads/products/WPP-RCA1-RD-WH.jpg,,,,,RCA Keystones,Wall Plates,"['http://ppeci.com/images/uploads/products/WPP-RCA1-RD-WH.jpg', '']"
https://ppeci.com/index.php/products/detail/rca-keystone6,RCA Keystone,WPP-RCA1-YW-BK,Black,,RCA/Yellow Feed Thru. Black,http://ppeci.com/images/uploads/products/WPP-RCA1-YW-BK.jpg,,,,,RCA Keystones,Wall Plates,"['http://ppeci.com/images/uploads/products/WPP-RCA1-YW-BK.jpg', '']"
https://ppeci.com/index.php/products/detail/rca-keystone7,RCA Keystone,WPP-RCA1-YW-IV,Ivory,,RCA/Yellow Feed Thru. Ivory,http://ppeci.com/images/uploads/products/WPP-RCA1-YW-IV.jpg,,,,,RCA Keystones,Wall Plates,"['http://ppeci.com/images/uploads/products/WPP-RCA1-YW-IV.jpg', '']"
https://ppeci.com/index.php/products/detail/rca-keystone8,RCA Keystone,WPP-RCA1-YW-WH,White,,RCA/Yellow Feed Thru. White,http://ppeci.com/images/uploads/products/WPP-RCA1-YW-WH.jpg,,,,,RCA Keystones,Wall Plates,"['http://ppeci.com/images/uploads/products/WPP-RCA1-YW-WH.jpg', '']"
https://ppeci.com/index.php/products/detail/svhs-connector,SVHS Connector,MD-SVHS-J65,,"SVHS Plug (M) Solder Type Assembly.
  Teflon (High Temp) Insulation.",ID = 6.5mm,http://ppeci.com/images/uploads/products/MD-SVHS-J65%282%29.jpg,http://ppeci.com/images/uploads/products/MD-SVHS-J65.jpg,,,,SVHS,A/V Accessories,"['http://ppeci.com/images/uploads/products/MD-SVHS-J65%282%29.jpg', 'http://ppeci.com/images/uploads/products/MD-SVHS-J65.jpg', '']"
https://ppeci.com/index.php/products/detail/svhs-connector,SVHS Connector,MD-SVHS-J65,,"SVHS Plug (M) Solder Type Assembly.
  Teflon (High Temp) Insulation.",ID = 6.5mm,http://ppeci.com/images/uploads/products/MD-SVHS-J65%282%29.jpg,http://ppeci.com/images/uploads/products/MD-SVHS-J65.jpg,,,,SVHS Connectors,DIN & Mini DIN Connectors,"['http://ppeci.com/images/uploads/products/MD-SVHS-J65%282%29.jpg', 'http://ppeci.com/images/uploads/products/MD-SVHS-J65.jpg', '']"
