url,sku,color,description,details
,,,,
https://ppeci.com/index.php/products/detail/cat-6a-26awg-shielded-patch-cable1,DCS-56AP-03BLMB,Blue,"Stranded, SFS PE Conductors
 F/FTP Construction
 Shielded Connectors
 Gold Plated Contacts
 Snagless BootsStranded, SFS PE Conductors F/FTP Construction
 Shielded Connectors
 Gold Plated Contacts
 Snagless Boots",3 ft. Blue
,,,,
https://ppeci.com/index.php/products/detail/remote-cable-tester3,TSR-NETCBL-2,,,RJ45 and USB Cable Tester
,,,,
https://ppeci.com/index.php/products/detail/single-jack-modular-wall-plate4,PT-103-8U,,"Single, Single Gang Plastic Wall Plate.
 Ivory Color, Screw Terminal.
 Gold Plated contacts.Single, Single Gang Plastic Wall Plate. Ivory Color, Screw Terminal. Gold Plated contacts.","8P8C, USOC"
,,,,
https://ppeci.com/index.php/products/detail/wall-mounting-plate,PT-106D-4C,,,Ivory with Dual Jack on side
,,,,
https://ppeci.com/index.php/products/detail/wall-mounting-plate2,PT-106-6C,,,Ivory
,,,,
https://ppeci.com/index.php/products/detail/wall-mounting-plate3,PT-106-4C,,,Ivory
,,,,
https://ppeci.com/index.php/products/detail/cat-3-telco-connection-patch-panel,DC-PP-(XX)P-(JJ)-(W),,"All patch panels will mount on 19” standard EIA racks.
  Gold plated modular jack contacts.
  Telco 50 pin Male or Female connector with gold plated contacts.
  Contacts are soldered and insulated by heat shrink tubes.
  Standard wiring: USOC, ATT (EIA/TIA 568B).
  Special wiring available, please call.
  Custon NC/NR.
  Ordering Information:
  DC-PP-(XX)P-(JJ)-(W)
 XX specifies number of ports: 24, 32, 48, 64, 96.
 JJ specifies Jack type: 4C for RJ11, 6C for RJ25, 8C for RJ45.
 W specifies Wiring: ATT or USOCAll patch panels will mount on 19” standard EIA racks.  Gold plated modular jack contacts.  Telco 50 pin Male or Female connector with gold plated contacts.  Contacts are soldered and insulated by heat shrink tubes.  Standard wiring: USOC, ATT (EIA/TIA 568B).  Special wiring available, please call.  Custon NC/NR.  Ordering Information:  DC-PP-(XX)P-(JJ)-(W) XX specifies number of ports: 24, 32, 48, 64, 96. JJ specifies Jack type: 4C for RJ11, 6C for RJ25, 8C for RJ45. W specifies Wiring: ATT or USOC",While supplies last. Contact us to order.
,,,,
https://ppeci.com/index.php/products/detail/cat-4-110-termination-patch-panel,110-PP-1266U-89,,"Mounts on standard vertical 89 style bracket.
  Gold plated modular jack contacts.
  110 Termination.
  Including clear caps and nylon wire guide.
  Color Coded: USOC Wiring, RJ-45 (6p6c) jacks.Mounts on standard vertical 89 style bracket.  Gold plated modular jack contacts.  110 Termination.  Including clear caps and nylon wire guide.  Color Coded: USOC Wiring, RJ-45 (6p6c) jacks.","12 Ports, Vertical"
,,,,
https://ppeci.com/index.php/products/detail/cat-4-110-termination-patch-panel1,110-PP-1666U,,"All patch panels will mount on 19” Standard EIA Racks.
 Gold plated modular jack contacts.
 110 Termination.
 Standard Wiring: USOC Wiring on RJ-25 (6p6c).All patch panels will mount on 19” Standard EIA Racks. Gold plated modular jack contacts. 110 Termination. Standard Wiring: USOC Wiring on RJ-25 (6p6c).","16 Ports, 1U"
,,,,
